[ 2017-05-01T20:55:18+08:00 ] /cps.php? | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:18+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002001s ]
[ 2017-05-01T20:55:18+08:00 ] /cps.php? | INFO: Tag[ view_end ] --START--
[ 2017-05-01T20:55:18+08:00 ] /cps.php? | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:18+08:00 ] /cps.php? | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_template ] --START--
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run ParseTemplate Behavior [ RunTime:0.017001s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017001s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --START--
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run TokenBuild Behavior [ RunTime:0.001001s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003001s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_end ] --START--
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:23+08:00 ] /cps.php? | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003001s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_template ] --START--
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run ParseTemplate Behavior [ RunTime:0.019001s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019001s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --START--
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_end ] --START--
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:24+08:00 ] /cps.php? | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_template ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ParseTemplate Behavior [ RunTime:0.018001s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019001s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_end ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Tag[ view_template ] --START--
[ 2017-05-01T20:55:29+08:00 ] /cps.php? | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
